geo_code,zone,year,sex,age_interval,country,population
AD,Zone 4,1990,F,UNK,Andorra,0.0
AD,Zone 4,1990,F,Y00-Y09,Andorra,2501.0
AD,Zone 4,1990,F,Y10-Y19,Andorra,3510.0
AD,Zone 4,1990,F,Y20-Y29,Andorra,4555.0
AD,Zone 4,1990,F,Y30-Y39,Andorra,4436.0
AD,Zone 4,1990,F,Y40-Y49,Andorra,3209.0
AD,Zone 4,1990,F,Y50-Y59,Andorra,2269.0
AD,Zone 4,1990,F,Y60-Y69,Andorra,1955.0
AD,Zone 4,1990,F,Y70-Y79,Andorra,1002.0
AD,Zone 4,1990,F,Y80-Y89,Andorra,437.0
AD,Zone 4,1990,F,Y90-Y99,Andorra,48.0
AD,Zone 4,1990,F,Y_LT1,Andorra,243.0
AD,Zone 4,1990,F,Y_OPEN,Andorra,6.0
AD,Zone 4,1990,M,UNK,Andorra,0.0
AD,Zone 4,1990,M,Y00-Y09,Andorra,2636.0
AD,Zone 4,1990,M,Y10-Y19,Andorra,3852.0
AD,Zone 4,1990,M,Y20-Y29,Andorra,4837.0
AD,Zone 4,1990,M,Y30-Y39,Andorra,5237.0
AD,Zone 4,1990,M,Y40-Y49,Andorra,3758.0
AD,Zone 4,1990,M,Y50-Y59,Andorra,2532.0
AD,Zone 4,1990,M,Y60-Y69,Andorra,2047.0
AD,Zone 4,1990,M,Y70-Y79,Andorra,1127.0
AD,Zone 4,1990,M,Y80-Y89,Andorra,393.0
AD,Zone 4,1990,M,Y90-Y99,Andorra,32.0
AD,Zone 4,1990,M,Y_LT1,Andorra,255.0
AD,Zone 4,1990,M,Y_OPEN,Andorra,10.0
AD,Zone 4,1990,T,UNK,Andorra,0.0
AD,Zone 4,1990,T,Y00-Y09,Andorra,5137.0
AD,Zone 4,1990,T,Y10-Y19,Andorra,7362.0
AD,Zone 4,1990,T,Y20-Y29,Andorra,9392.0
AD,Zone 4,1990,T,Y30-Y39,Andorra,9673.0
AD,Zone 4,1990,T,Y40-Y49,Andorra,6967.0
AD,Zone 4,1990,T,Y50-Y59,Andorra,4801.0
AD,Zone 4,1990,T,Y60-Y69,Andorra,4002.0
AD,Zone 4,1990,T,Y70-Y79,Andorra,2129.0
AD,Zone 4,1990,T,Y80-Y89,Andorra,830.0
AD,Zone 4,1990,T,Y90-Y99,Andorra,80.0
AD,Zone 4,1990,T,Y_LT1,Andorra,498.0
AD,Zone 4,1990,T,Y_OPEN,Andorra,16.0
AD,Zone 4,1991,F,UNK,Andorra,0.0
AD,Zone 4,1991,F,Y00-Y09,Andorra,2593.0
AD,Zone 4,1991,F,Y10-Y19,Andorra,3655.0
AD,Zone 4,1991,F,Y20-Y29,Andorra,4853.0
AD,Zone 4,1991,F,Y30-Y39,Andorra,4777.0
AD,Zone 4,1991,F,Y40-Y49,Andorra,3379.0
AD,Zone 4,1991,F,Y50-Y59,Andorra,2343.0
AD,Zone 4,1991,F,Y60-Y69,Andorra,2049.0
AD,Zone 4,1991,F,Y70-Y79,Andorra,1122.0
AD,Zone 4,1991,F,Y80-Y89,Andorra,472.0
AD,Zone 4,1991,F,Y90-Y99,Andorra,53.0
AD,Zone 4,1991,F,Y_LT1,Andorra,237.0
AD,Zone 4,1991,F,Y_OPEN,Andorra,9.0
